"site","utterance","goal","state","subid"
"US","terrible","mean",3,"40"
"US","bad","mean",1,"44"
"US","okay","nice",3,"44"
"US","terrible","honest",1,"44"
"US","okay","honest",3,"44"
"US","good","nice",4,"44"
"US","bad","honest",1,"44"
"US","amazing","honest",5,"44"
"US","good","mean",2,"44"
"US","amazing","nice",2,"44"
"US","terrible","nice",1,"44"
"US","okay","mean",4,"44"
"US","terrible","mean",5,"44"
"US","good","honest",3,"44"
"US","amazing","mean",1,"44"
"US","bad","nice",2,"44"
"US","amazing","mean",1,"46"
"US","okay","mean",2,"46"
"US","bad","nice",4,"46"
"US","bad","mean",2,"46"
"US","good","mean",2,"46"
"US","terrible","mean",1,"46"
"US","bad","honest",2,"46"
"US","amazing","honest",5,"46"
"US","terrible","honest",1,"46"
"US","good","nice",4,"46"
"US","okay","honest",3,"46"
"US","amazing","nice",5,"46"
"US","okay","nice",3,"46"
"US","terrible","nice",2,"46"
"US","good","honest",4,"46"
"US","okay","honest",3,"50"
"US","bad","mean",1,"50"
"US","terrible","honest",1,"50"
"US","bad","nice",2,"50"
"US","okay","nice",3,"50"
"US","bad","honest",2,"50"
"US","terrible","mean",1,"50"
"US","terrible","nice",2,"50"
"US","good","nice",4,"50"
"US","amazing","nice",3,"50"
"US","good","mean",2,"50"
"US","okay","mean",3,"50"
"US","amazing","mean",5,"50"
"US","amazing","honest",5,"50"
"US","good","honest",4,"50"
"US","amazing","mean",3,"51"
"US","okay","honest",2,"51"
"US","bad","nice",3,"51"
"US","terrible","nice",2,"51"
"US","good","honest",4,"51"
"US","terrible","mean",2,"51"
"US","good","nice",5,"51"
"US","good","mean",2,"51"
"US","okay","mean",4,"51"
"US","bad","honest",2,"51"
"US","okay","nice",3,"51"
"US","bad","mean",4,"51"
"US","amazing","honest",2,"51"
"US","amazing","nice",3,"51"
"US","terrible","honest",5,"51"
"US","okay","mean",1,"53"
"US","amazing","nice",3,"53"
"US","amazing","mean",1,"53"
"US","okay","honest",3,"53"
"US","good","honest",4,"53"
"US","terrible","nice",1,"53"
"US","bad","mean",1,"53"
"US","amazing","honest",5,"53"
"US","okay","nice",2,"53"
"US","bad","nice",1,"53"
"US","bad","honest",1,"53"
"US","good","nice",2,"53"
"US","terrible","honest",1,"53"
"US","terrible","mean",3,"53"
"US","good","mean",5,"53"
"US","amazing","honest",3,"55"
"US","bad","honest",1,"55"
"US","terrible","mean",4,"55"
"US","good","honest",3,"55"
"US","bad","mean",3,"55"
"US","okay","honest",3,"55"
"US","bad","nice",1,"55"
"US","okay","nice",3,"55"
"US","okay","mean",1,"55"
"US","amazing","mean",1,"55"
"US","terrible","honest",1,"55"
"US","amazing","nice",4,"55"
"US","good","mean",1,"55"
"US","good","nice",2,"55"
"US","terrible","nice",1,"55"
"US","bad","nice",2,"56"
"US","amazing","honest",4,"56"
"US","terrible","honest",1,"56"
"US","bad","mean",4,"56"
"US","good","mean",5,"56"
"US","bad","honest",1,"56"
"US","good","honest",3,"56"
"US","terrible","nice",1,"56"
"US","good","nice",4,"56"
"US","okay","mean",5,"56"
"US","terrible","mean",4,"56"
"US","okay","nice",2,"56"
"US","amazing","mean",1,"56"
"US","amazing","nice",5,"56"
"US","okay","honest",3,"56"
"US","good","nice",2,"57"
"US","good","mean",5,"57"
"US","okay","mean",4,"57"
"US","good","honest",3,"57"
"US","okay","nice",2,"57"
"US","terrible","mean",3,"57"
"US","bad","mean",3,"57"
"US","bad","honest",2,"57"
"US","amazing","mean",5,"57"
"US","terrible","nice",1,"57"
"US","terrible","honest",1,"57"
"US","bad","nice",1,"57"
"US","okay","honest",2,"57"
"US","amazing","honest",5,"57"
"US","amazing","nice",3,"57"
"US","okay","honest",3,"57"
"US","okay","nice",2,"57"
"US","terrible","honest",1,"57"
"US","amazing","honest",5,"57"
"US","okay","mean",4,"57"
"US","terrible","nice",1,"57"
"US","good","honest",4,"57"
"US","good","mean",3,"57"
"US","terrible","mean",4,"57"
"US","bad","honest",1,"57"
"US","good","nice",3,"57"
"US","amazing","mean",2,"57"
"US","amazing","nice",2,"57"
"US","bad","nice",2,"57"
"US","bad","mean",4,"57"
"US","okay","honest",3,"58"
"US","amazing","mean",3,"58"
"US","amazing","honest",2,"58"
"US","good","nice",3,"58"
"US","good","mean",4,"58"
"US","terrible","nice",3,"58"
"US","good","honest",2,"58"
"US","terrible","mean",3,"58"
"US","okay","mean",3,"58"
"US","bad","mean",4,"58"
"US","terrible","honest",3,"58"
"US","amazing","nice",2,"58"
"US","bad","nice",3,"58"
"US","okay","nice",3,"58"
"US","bad","honest",3,"58"
"US","amazing","nice",2,"59"
"US","terrible","mean",3,"59"
"US","amazing","mean",1,"59"
"US","good","mean",2,"59"
"US","bad","mean",5,"59"
"US","terrible","nice",3,"59"
"US","good","nice",2,"59"
"US","good","honest",4,"59"
"US","okay","nice",1,"59"
"US","bad","honest",1,"59"
"US","okay","mean",3,"59"
"US","bad","nice",1,"59"
"US","amazing","honest",5,"59"
"US","okay","honest",3,"59"
"US","terrible","honest",1,"59"
"US","amazing","nice",3,"60"
"US","amazing","honest",5,"60"
"US","okay","nice",2,"60"
"US","bad","honest",1,"60"
"US","amazing","mean",1,"60"
"US","terrible","honest",1,"60"
"US","okay","mean",3,"60"
"US","good","mean",2,"60"
"US","terrible","nice",2,"60"
"US","terrible","mean",1,"60"
"US","okay","honest",3,"60"
"US","bad","nice",1,"60"
"US","good","nice",4,"60"
"US","bad","mean",1,"60"
"US","good","honest",4,"60"
"US","good","nice",3,"61"
"US","amazing","honest",5,"61"
"US","terrible","mean",2,"61"
"US","bad","mean",1,"61"
"US","okay","nice",3,"61"
"US","amazing","nice",2,"61"
"US","bad","honest",2,"61"
"US","terrible","honest",1,"61"
"US","good","honest",4,"61"
"US","good","mean",4,"61"
"US","okay","mean",4,"61"
"US","bad","nice",1,"61"
"US","terrible","nice",1,"61"
"US","okay","honest",3,"61"
"US","amazing","mean",1,"61"
"US","bad","nice",2,"62"
"US","okay","honest",3,"62"
"US","bad","mean",2,"62"
"US","okay","nice",3,"62"
"US","bad","honest",2,"62"
"US","good","honest",4,"62"
"US","terrible","nice",1,"62"
"US","okay","mean",3,"62"
"US","terrible","honest",1,"62"
"US","terrible","mean",1,"62"
"US","amazing","mean",5,"62"
"US","good","nice",4,"62"
"US","amazing","honest",5,"62"
"US","good","mean",4,"62"
"US","amazing","nice",5,"62"
"US","good","mean",3,"64"
"US","okay","mean",3,"64"
"US","terrible","mean",2,"64"
"US","okay","honest",3,"64"
"US","bad","honest",2,"64"
"US","bad","nice",2,"64"
"US","amazing","honest",5,"64"
"US","okay","nice",3,"64"
"US","terrible","nice",1,"64"
"US","terrible","honest",2,"64"
"US","bad","mean",3,"64"
"US","good","honest",4,"64"
"US","amazing","nice",4,"64"
"US","amazing","mean",2,"64"
"US","good","nice",3,"64"
"US","okay","mean",4,"67"
"US","bad","honest",1,"67"
"US","bad","nice",1,"67"
"US","good","honest",4,"67"
"US","okay","nice",2,"67"
"US","okay","honest",3,"67"
"US","amazing","mean",1,"67"
"US","terrible","nice",1,"67"
"US","amazing","nice",4,"67"
"US","terrible","honest",1,"67"
"US","good","mean",4,"67"
"US","amazing","honest",5,"67"
"US","good","nice",2,"67"
"US","terrible","mean",4,"67"
"US","bad","mean",4,"67"
"US","bad","honest",3,"68"
"US","okay","mean",4,"68"
"US","bad","mean",4,"68"
"US","amazing","nice",3,"68"
"US","terrible","nice",1,"68"
"US","okay","nice",4,"68"
"US","good","honest",4,"68"
"US","good","nice",3,"68"
"US","terrible","mean",4,"68"
"US","bad","nice",4,"68"
"US","terrible","honest",2,"68"
"US","amazing","honest",5,"68"
"US","good","mean",5,"68"
"US","amazing","mean",4,"68"
"US","okay","honest",2,"68"
"US","terrible","honest",1,"69"
"US","good","honest",3,"69"
"US","amazing","mean",5,"69"
"US","okay","honest",1,"69"
"US","good","nice",2,"69"
"US","okay","nice",1,"69"
"US","terrible","nice",1,"69"
"US","bad","nice",1,"69"
"US","okay","mean",3,"69"
"US","amazing","honest",5,"69"
"US","terrible","mean",4,"69"
"US","good","mean",5,"69"
"US","bad","honest",1,"69"
"US","amazing","nice",3,"69"
"US","bad","mean",4,"69"
"US","terrible","mean",2,"71"
"US","amazing","mean",2,"71"
"US","bad","nice",3,"71"
"US","bad","honest",2,"71"
"US","amazing","honest",5,"71"
"US","good","mean",2,"71"
"US","good","honest",5,"71"
"US","okay","nice",2,"71"
"US","okay","mean",4,"71"
"US","terrible","nice",2,"71"
"US","terrible","honest",1,"71"
"US","good","nice",3,"71"
"US","amazing","nice",3,"71"
"US","okay","honest",4,"71"
"US","bad","mean",3,"71"
"US","good","honest",4,"73"
"US","good","mean",2,"73"
"US","okay","nice",3,"73"
"US","bad","honest",1,"73"
"US","amazing","mean",1,"73"
"US","bad","mean",3,"73"
"US","amazing","nice",3,"73"
"US","terrible","honest",1,"73"
"US","bad","nice",1,"73"
"US","amazing","honest",5,"73"
"US","okay","honest",3,"73"
"US","good","nice",3,"73"
"US","terrible","mean",2,"73"
"US","okay","mean",3,"73"
"US","terrible","nice",1,"73"
"US","terrible","nice",1,"75"
"US","bad","honest",2,"75"
"US","okay","honest",3,"75"
"US","good","mean",1,"75"
"US","good","nice",2,"75"
"US","okay","mean",2,"75"
"US","amazing","mean",1,"75"
"US","terrible","honest",1,"75"
"US","amazing","honest",5,"75"
"US","bad","mean",2,"75"
"US","amazing","nice",3,"75"
"US","okay","nice",2,"75"
"US","good","honest",4,"75"
"US","terrible","mean",3,"75"
"US","bad","nice",1,"75"
"India","okay","nice",3,"14"
"India","good","nice",2,"14"
"India","amazing","honest",4,"14"
"India","terrible","mean",1,"14"
"India","amazing","nice",4,"14"
"India","terrible","nice",1,"14"
"India","amazing","mean",5,"14"
"India","okay","honest",2,"14"
"India","bad","mean",1,"14"
"India","good","mean",1,"14"
"India","good","honest",4,"14"
"India","okay","mean",1,"14"
"India","bad","honest",4,"14"
"India","terrible","honest",4,"14"
"India","bad","nice",4,"14"
"India","bad","nice",2,"19"
"India","okay","honest",3,"19"
"India","terrible","nice",1,"19"
"India","good","honest",4,"19"
"India","terrible","mean",3,"19"
"India","okay","nice",3,"19"
"India","terrible","honest",2,"19"
"India","amazing","honest",5,"19"
"India","bad","mean",3,"19"
"India","okay","mean",4,"19"
"India","good","nice",2,"19"
"India","amazing","nice",4,"19"
"India","bad","honest",2,"19"
"India","good","mean",5,"19"
"India","amazing","mean",5,"19"
"India","amazing","mean",3,"23"
"India","bad","mean",2,"23"
"India","okay","honest",3,"23"
"India","okay","nice",3,"23"
"India","terrible","nice",2,"23"
"India","bad","honest",4,"23"
"India","amazing","nice",4,"23"
"India","good","mean",5,"23"
"India","bad","nice",3,"23"
"India","terrible","mean",2,"23"
"India","good","honest",5,"23"
"India","okay","mean",4,"23"
"India","amazing","honest",5,"23"
"India","good","nice",2,"23"
"India","terrible","honest",4,"23"
"India","amazing","honest",4,"24"
"India","bad","mean",2,"24"
"India","terrible","nice",2,"24"
"India","good","mean",1,"24"
"India","amazing","nice",4,"24"
"India","terrible","mean",2,"24"
"India","amazing","mean",1,"24"
"India","okay","nice",1,"24"
"India","good","honest",3,"24"
"India","okay","honest",3,"24"
"India","bad","nice",1,"24"
"India","bad","honest",2,"24"
"India","good","nice",3,"24"
"India","terrible","honest",1,"24"
"India","okay","mean",1,"24"
"India","amazing","mean",2,"26"
"India","bad","mean",3,"26"
"India","okay","mean",4,"26"
"India","terrible","honest",1,"26"
"India","good","honest",4,"26"
"India","good","mean",2,"26"
"India","good","nice",2,"26"
"India","bad","nice",1,"26"
"India","terrible","nice",1,"26"
"India","terrible","mean",4,"26"
"India","okay","nice",3,"26"
"India","amazing","nice",2,"26"
"India","amazing","honest",4,"26"
"India","bad","honest",1,"26"
"India","okay","honest",3,"26"
"India","okay","nice",2,"34"
"India","terrible","mean",3,"34"
"India","okay","honest",3,"34"
"India","amazing","nice",2,"34"
"India","terrible","nice",1,"34"
"India","amazing","mean",3,"34"
"India","good","mean",1,"34"
"India","good","nice",2,"34"
"India","bad","honest",1,"34"
"India","terrible","honest",1,"34"
"India","okay","mean",3,"34"
"India","bad","mean",3,"34"
"India","bad","nice",1,"34"
"India","good","honest",5,"34"
