"subid","trial","knowledge","true_state","utterance","goal","goal_prob"
"5",24,"known","okay","okay","nice",0.7
"5",25,"known","okay","good","nice",0.775
"5",1,"unknown","okay","okay","nice",0.5
"5",2,"unknown","good","good","nice",1
"5",3,"unknown","amazing","amazing","nice",0.925
"5",4,"unknown","bad","good","nice",0.925
"5",5,"unknown","good","okay","nice",0.5
"5",6,"unknown","amazing","terrible","nice",0
"5",7,"unknown","bad","amazing","nice",0.95
"5",8,"unknown","okay","terrible","nice",0.225
"5",9,"unknown","okay","amazing","nice",0.75
"5",10,"unknown","amazing","good","nice",0.95
"5",11,"unknown","terrible","amazing","nice",0.95
"5",12,"unknown","bad","bad","nice",0.5
"5",13,"unknown","okay","bad","nice",0.25
"5",14,"unknown","okay","good","nice",0.75
"5",15,"unknown","amazing","bad","nice",0.025
"5",16,"unknown","terrible","okay","nice",0.725
"5",17,"unknown","amazing","okay","nice",0.275
"5",18,"unknown","bad","okay","nice",0.75
"5",19,"unknown","terrible","bad","nice",0.5
"5",20,"unknown","bad","terrible","nice",0.25
"5",21,"unknown","good","terrible","nice",0.1
"5",22,"unknown","terrible","terrible","nice",0.25
"5",23,"unknown","terrible","good","nice",0.95
"5",24,"unknown","good","amazing","nice",0.75
"5",25,"unknown","good","bad","nice",0.225
"6",1,"known","terrible","bad","nice",0.5
"6",2,"known","okay","terrible","nice",0.5
"6",3,"known","good","good","nice",1
"6",4,"known","okay","bad","nice",0.475
"6",5,"known","okay","amazing","nice",0.8
"6",6,"known","bad","terrible","nice",0.325
"6",7,"known","amazing","terrible","nice",0
"6",8,"known","okay","good","nice",0.75
"6",9,"known","terrible","amazing","nice",1
"6",10,"known","terrible","good","nice",0.725
"6",11,"known","bad","okay","nice",0.725
"6",12,"known","good","amazing","nice",0.925
"6",13,"known","okay","okay","nice",0.7
"6",14,"known","bad","bad","nice",0.275
"6",15,"known","good","bad","nice",0.2
"6",16,"known","bad","amazing","nice",1
"6",17,"known","good","terrible","nice",0
"6",18,"known","good","okay","nice",0.425
"6",19,"known","terrible","okay","nice",0.725
"6",20,"known","amazing","bad","nice",0
"6",21,"known","terrible","terrible","nice",0.5
"6",22,"known","amazing","amazing","nice",0.975
"6",23,"known","bad","good","nice",0.8
"6",24,"known","amazing","good","nice",0.725
"6",25,"known","amazing","okay","nice",0.3
"7",1,"unknown","bad","bad","honest",0.5
"7",2,"unknown","good","good","honest",0.95
"7",3,"unknown","good","amazing","honest",0.25
"7",4,"unknown","terrible","terrible","honest",0.75
