"subid","trial","knowledge","true_state","utterance","goal","goal_prob","roundval"
7,21,"unknown","amazing","terrible","honest",0,0.1
7,22,"unknown","okay","amazing","honest",0.225,0.3
7,23,"unknown","amazing","bad","honest",0.075,0.1
7,24,"unknown","good","terrible","honest",0.2,0.1
7,25,"unknown","bad","terrible","honest",0.775,0.7
7,1,"unknown","terrible","terrible","honest",0.25,0.3
7,2,"unknown","good","terrible","honest",0.25,0.3
7,3,"unknown","good","amazing","honest",0.75,0.7
7,4,"unknown","okay","amazing","honest",0.675,0.7
7,5,"unknown","good","okay","honest",0.75,0.7
7,6,"unknown","amazing","good","honest",0.75,0.7
7,7,"unknown","amazing","amazing","honest",0.75,0.7
7,8,"unknown","bad","terrible","honest",0.275,0.3
7,9,"unknown","terrible","bad","honest",0.275,0.3
7,10,"unknown","good","bad","honest",0.35,0.3
7,11,"unknown","terrible","good","honest",0.75,0.7
7,12,"unknown","amazing","bad","honest",0.275,0.3
7,13,"unknown","bad","amazing","honest",0.65,0.7
7,14,"unknown","terrible","okay","honest",0.8,0.7
7,15,"unknown","okay","bad","honest",0.175,0.1
7,16,"unknown","okay","good","honest",0.725,0.7
7,17,"unknown","amazing","okay","honest",0.75,0.7
7,18,"unknown","bad","okay","honest",0.875,0.9
7,19,"unknown","okay","terrible","honest",0.1,0.1
7,20,"unknown","good","good","honest",0.75,0.7
7,21,"unknown","bad","bad","honest",0.4,0.3
7,22,"unknown","bad","good","honest",0.825,0.9
7,23,"unknown","amazing","terrible","honest",0.225,0.3
7,24,"unknown","terrible","amazing","honest",0.8,0.7
7,25,"unknown","okay","okay","honest",0.725,0.7
8,1,"unknown","terrible","terrible","honest",0.75,0.7
8,2,"unknown","okay","bad","honest",0.075,0.1
8,3,"unknown","good","terrible","honest",0.025,0.1
8,4,"unknown","amazing","good","honest",0.075,0.1
8,5,"unknown","amazing","bad","honest",0.4,0.3
8,6,"unknown","good","okay","honest",0.575,0.5
8,7,"unknown","amazing","terrible","honest",0.3,0.3
8,8,"unknown","good","good","honest",0.575,0.5
8,9,"unknown","bad","terrible","honest",0.45,0.5
8,10,"unknown","bad","okay","honest",0.75,0.7
8,11,"unknown","bad","bad","honest",0.5,0.5
8,12,"unknown","terrible","bad","honest",0.4,0.3
8,13,"unknown","okay","terrible","honest",0.45,0.5
8,14,"unknown","good","bad","honest",0.35,0.3
8,15,"unknown","okay","good","honest",0.65,0.7
8,16,"unknown","amazing","okay","honest",0.625,0.7
8,17,"unknown","amazing","amazing","honest",0.575,0.5
8,18,"unknown","good","amazing","honest",0.65,0.7
8,19,"unknown","okay","amazing","honest",0.625,0.7
8,20,"unknown","okay","okay","honest",0.85,0.9
8,21,"unknown","terrible","good","honest",0.9,0.9
8,22,"unknown","bad","good","honest",0.675,0.7
8,23,"unknown","bad","amazing","honest",0.7,0.7
8,24,"unknown","terrible","okay","honest",0.175,0.1
8,25,"unknown","terrible","amazing","honest",0.275,0.3
10,1,"unknown","terrible","bad","nice",0,0.1
10,2,"unknown","amazing","bad","nice",0.025,0.1
10,3,"unknown","okay","bad","nice",0,0.1
10,4,"unknown","amazing","good","nice",0.85,0.9
10,5,"unknown","terrible","okay","nice",0.975,0.9
10,6,"unknown","bad","amazing","nice",1,0.9
10,7,"unknown","okay","okay","nice",0.75,0.7
10,8,"unknown","good","okay","nice",0.625,0.7
10,9,"unknown","amazing","terrible","nice",0.025,0.1
10,10,"unknown","terrible","good","nice",0.975,0.9
10,11,"unknown","terrible","terrible","nice",0,0.1
10,12,"unknown","good","bad","nice",0.025,0.1
10,13,"unknown","amazing","amazing","nice",0.975,0.9
10,14,"unknown","bad","terrible","nice",0.05,0.1
10,15,"unknown","bad","bad","nice",0,0.1
10,16,"unknown","good","good","nice",1,0.9
10,17,"unknown","okay","good","nice",1,0.9
10,18,"unknown","terrible","amazing","nice",0.95,0.9
10,19,"unknown","good","amazing","nice",0.975,0.9
10,20,"unknown","good","terrible","nice",0,0.1
10,21,"unknown","bad","okay","nice",0.85,0.9
10,22,"unknown","amazing","okay","nice",0.225,0.3
10,23,"unknown","okay","amazing","nice",1,0.9
10,24,"unknown","okay","terrible","nice",0.025,0.1
10,25,"unknown","bad","good","nice",0.925,0.9
13,1,"unknown","terrible","amazing","nice",0.825,0.9
13,2,"unknown","okay","amazing","nice",0.875,0.9
13,3,"unknown","okay","bad","nice",0.025,0.1
13,4,"unknown","amazing","terrible","nice",0,0.1
13,5,"unknown","bad","okay","nice",0.8,0.7
13,6,"unknown","good","terrible","nice",0,0.1
13,7,"unknown","okay","okay","nice",0.5,0.5
13,8,"unknown","good","bad","nice",0.025,0.1
13,9,"unknown","good","okay","nice",0.375,0.3
13,10,"unknown","terrible","good","nice",0.875,0.9
13,11,"unknown","amazing","good","nice",0.575,0.5
13,12,"unknown","terrible","terrible","nice",0.225,0.3
13,13,"unknown","amazing","bad","nice",0,0.1
13,14,"unknown","amazing","amazing","nice",0.675,0.7
13,15,"unknown","okay","terrible","nice",0,0.1
13,16,"unknown","bad","good","nice",0.65,0.7
13,17,"unknown","bad","bad","nice",0.375,0.3
13,18,"unknown","good","good","nice",0.65,0.7
13,19,"unknown","terrible","okay","nice",0.85,0.9
13,20,"unknown","bad","amazing","nice",0.725,0.7
13,21,"unknown","terrible","bad","nice",0.5,0.5
13,22,"unknown","bad","terrible","nice",0.1,0.1
13,23,"unknown","okay","good","nice",0.8,0.7
13,24,"unknown","good","amazing","nice",0.925,0.9
13,25,"unknown","amazing","okay","nice",0.15,0.1
15,1,"unknown","terrible","okay","mean",0.025,0.1
15,2,"unknown","okay","terrible","mean",0.95,0.9
15,3,"unknown","amazing","bad","mean",0.95,0.9
15,4,"unknown","okay","okay","mean",0.05,0.1
15,5,"unknown","okay","amazing","mean",0.05,0.1
15,6,"unknown","amazing","terrible","mean",0.975,0.9
15,7,"unknown","bad","amazing","mean",0.05,0.1
15,8,"unknown","okay","good","mean",0.05,0.1
15,9,"unknown","bad","good","mean",0.075,0.1
15,10,"unknown","okay","bad","mean",0.95,0.9
15,11,"unknown","terrible","good","mean",0.05,0.1
15,12,"unknown","good","good","mean",0.025,0.1
15,13,"unknown","bad","okay","mean",0.05,0.1
15,14,"unknown","amazing","okay","mean",0.7,0.7
15,15,"unknown","bad","terrible","mean",0.675,0.7
15,16,"unknown","good","amazing","mean",0.05,0.1
15,17,"unknown","bad","bad","mean",0.05,0.1
15,18,"unknown","good","okay","mean",0.65,0.7
15,19,"unknown","good","terrible","mean",0.925,0.9
15,20,"unknown","terrible","amazing","mean",0.025,0.1
15,21,"unknown","good","bad","mean",0.95,0.9
15,22,"unknown","amazing","good","mean",0.675,0.7
15,23,"unknown","terrible","bad","mean",0.95,0.9
15,24,"unknown","terrible","terrible","mean",0.025,0.1
15,25,"unknown","amazing","amazing","mean",0,0.1
16,1,"unknown","good","bad","nice",0.35,0.3
16,2,"unknown","amazing","bad","nice",0.225,0.3
16,3,"unknown","good","good","nice",0.95,0.9
16,4,"unknown","okay","okay","nice",0.825,0.9
16,5,"unknown","okay","good","nice",0.85,0.9
16,6,"unknown","bad","good","nice",0.825,0.9
16,7,"unknown","good","okay","nice",0.4,0.3
16,8,"unknown","amazing","okay","nice",0.325,0.3
16,9,"unknown","bad","okay","nice",0.725,0.7
16,10,"unknown","terrible","amazing","nice",0.95,0.9
16,11,"unknown","bad","amazing","nice",0.875,0.9
16,12,"unknown","terrible","good","nice",0.9,0.9
16,13,"unknown","terrible","bad","nice",0.225,0.3
16,14,"unknown","amazing","good","nice",0.7,0.7
16,15,"unknown","okay","bad","nice",0.275,0.3
16,16,"unknown","okay","terrible","nice",0.15,0.1
16,17,"unknown","bad","terrible","nice",0.35,0.3
16,18,"unknown","good","terrible","nice",0.025,0.1
16,19,"unknown","amazing","amazing","nice",0.9,0.9
16,20,"unknown","amazing","terrible","nice",0.025,0.1
16,21,"unknown","good","amazing","nice",0.8,0.7
16,22,"unknown","terrible","terrible","nice",0.15,0.1
16,23,"unknown","okay","amazing","nice",0.675,0.7
16,24,"unknown","terrible","okay","nice",0.65,0.7
16,25,"unknown","bad","bad","nice",0.2,0.1
17,1,"unknown","bad","bad","mean",0.825,0.9
17,2,"unknown","amazing","okay","mean",0,0.1
17,3,"unknown","bad","good","mean",0.05,0.1
17,4,"unknown","terrible","good","mean",0,0.1
17,5,"unknown","good","terrible","mean",0.4,0.3
17,6,"unknown","good","okay","mean",0.425,0.5
17,7,"unknown","amazing","good","mean",0.075,0.1
17,8,"unknown","okay","amazing","mean",0.5,0.5
17,9,"unknown","amazing","terrible","mean",0.95,0.9
17,10,"unknown","amazing","amazing","mean",0.025,0.1
17,11,"unknown","okay","okay","mean",0.025,0.1
17,12,"unknown","okay","good","mean",0.05,0.1
17,13,"unknown","bad","amazing","mean",0.275,0.3
17,14,"unknown","okay","bad","mean",0.6,0.5
17,15,"unknown","good","amazing","mean",0,0.1
17,16,"unknown","bad","okay","mean",0.5,0.5
17,17,"unknown","good","good","mean",0.05,0.1
17,18,"unknown","terrible","terrible","mean",0.5,0.5
17,19,"unknown","terrible","okay","mean",0.35,0.3
17,20,"unknown","amazing","bad","mean",0.875,0.9
17,21,"unknown","good","bad","mean",0.775,0.7
17,22,"unknown","terrible","amazing","mean",0.6,0.5
17,23,"unknown","terrible","bad","mean",0.225,0.3
17,24,"unknown","okay","terrible","mean",0.825,0.9
17,25,"unknown","bad","terrible","mean",0.5,0.5
18,1,"unknown","bad","good","honest",0.25,0.3
18,2,"unknown","okay","okay","honest",0.975,0.9
18,3,"unknown","bad","terrible","honest",1,0.9
18,4,"unknown","good","good","honest",1,0.9
18,5,"unknown","bad","okay","honest",0.275,0.3
18,6,"unknown","terrible","good","honest",0,0.1
18,7,"unknown","okay","bad","honest",0.225,0.3
18,8,"unknown","bad","amazing","honest",0,0.1
18,9,"unknown","good","bad","honest",0,0.1
18,10,"unknown","okay","terrible","honest",0.5,0.5
18,11,"unknown","terrible","terrible","honest",1,0.9
18,12,"unknown","amazing","terrible","honest",0,0.1
18,13,"unknown","bad","bad","honest",1,0.9
18,14,"unknown","good","amazing","honest",0.275,0.3
18,15,"unknown","good","okay","honest",1,0.9
18,16,"unknown","terrible","bad","honest",1,0.9
18,17,"unknown","okay","amazing","honest",0.2,0.1
18,18,"unknown","amazing","amazing","honest",1,0.9
18,19,"unknown","terrible","amazing","honest",0,0.1
18,20,"unknown","good","terrible","honest",0,0.1
18,21,"unknown","amazing","okay","honest",0.225,0.3
18,22,"unknown","amazing","bad","honest",0,0.1
18,23,"unknown","okay","good","honest",0.25,0.3
18,24,"unknown","amazing","good","honest",0.275,0.3
18,25,"unknown","terrible","okay","honest",0.275,0.3
20,1,"unknown","amazing","okay","nice",0.3,0.3
20,2,"unknown","okay","bad","nice",0.25,0.3
20,3,"unknown","good","good","nice",0.975,0.9
20,4,"unknown","good","terrible","nice",0.15,0.1
20,5,"unknown","okay","okay","nice",0.725,0.7
20,6,"unknown","amazing","amazing","nice",0.975,0.9
20,7,"unknown","bad","amazing","nice",0.975,0.9
20,8,"unknown","amazing","terrible","nice",0,0.1
20,9,"unknown","bad","okay","nice",0.725,0.7
20,10,"unknown","good","okay","nice",0.35,0.3
20,11,"unknown","amazing","good","nice",0.8,0.7
20,12,"unknown","terrible","terrible","nice",0.025,0.1
20,13,"unknown","okay","terrible","nice",0.1,0.1
20,14,"unknown","amazing","bad","nice",0,0.1
20,15,"unknown","bad","good","nice",0.725,0.7
20,16,"unknown","bad","bad","nice",0.275,0.3
20,17,"unknown","good","amazing","nice",0.975,0.9
20,18,"unknown","bad","terrible","nice",0.3,0.3
20,19,"unknown","terrible","bad","nice",0.5,0.5
20,20,"unknown","okay","good","nice",0.725,0.7
20,21,"unknown","terrible","amazing","nice",0.875,0.9
20,22,"unknown","terrible","good","nice",0.75,0.7
20,23,"unknown","terrible","okay","nice",0.675,0.7
20,24,"unknown","good","bad","nice",0.25,0.3
20,25,"unknown","okay","amazing","nice",0.775,0.7
22,1,"unknown","good","terrible","nice",0.25,0.3
22,2,"unknown","good","amazing","nice",0.7,0.7
22,3,"unknown","amazing","terrible","nice",0.225,0.3
22,4,"unknown","bad","terrible","nice",0.25,0.3
22,5,"unknown","terrible","bad","nice",0.5,0.5
22,6,"unknown","amazing","amazing","nice",0.725,0.7
22,7,"unknown","okay","amazing","nice",0.75,0.7
22,8,"unknown","amazing","bad","nice",0.3,0.3
22,9,"unknown","okay","good","nice",0.675,0.7
22,10,"unknown","terrible","terrible","nice",0.275,0.3
22,11,"unknown","terrible","good","nice",0.75,0.7
22,12,"unknown","bad","okay","nice",0.7,0.7
