,score,utterance,polite,prob,cih,cil
1,0,bad,baseline,0.230941356,0.108472222,0.120833333
2,1,bad,baseline,0.24894287,0.098611111,0.116736111
3,2,bad,baseline,0.291362331,0.0875,0.104166667
4,3,bad,baseline,0.0382983,0.104166667,0.097256944
5,4,bad,baseline,0.038755597,0.097222222,0.093090278
6,5,bad,baseline,0.040263211,0.123645833,0.112569444
7,6,bad,baseline,0.037088348,0.138923611,0.129166667
8,7,bad,baseline,0.032989486,0.136111111,0.126388889
9,8,bad,baseline,0.0249463,0.154201389,0.134722222
10,9,bad,baseline,0.016412091,0.130659722,0.102777778
11,0,great,baseline,0.005491286,0.150069444,0.108368056
12,1,great,baseline,0.008351602,0.1528125,0.108333333
13,2,great,baseline,0.013022985,0.126423611,0.119479167
14,3,great,baseline,0.01772668,0.147326389,0.129201389
15,4,great,baseline,0.024274264,0.144444444,0.145868056
16,5,great,baseline,0.033847158,0.136111111,0.129270833
17,6,great,baseline,0.042051947,0.122222222,0.112534722
18,7,great,baseline,0.051439445,0.073611111,0.077777778
19,8,great,baseline,0.414227539,0.045833333,0.055555556
20,9,great,baseline,0.389567094,0.063888889,0.070833333
21,0,not_bad,baseline,0.008853539,0.0875,0.081944444
22,1,not_bad,baseline,0.010247416,0.083333333,0.083368056
23,2,not_bad,baseline,0.012933419,0.088888889,0.086111111
24,3,not_bad,baseline,0.111809245,0.0903125,0.086111111
25,4,not_bad,baseline,0.129335634,0.088888889,0.097256944
26,5,not_bad,baseline,0.156417188,0.083333333,0.079201389
27,6,not_bad,baseline,0.17187097,0.084722222,0.086111111
28,7,not_bad,baseline,0.188742534,0.093090278,0.080555556
29,8,not_bad,baseline,0.108148645,0.105590278,0.0903125
30,9,not_bad,baseline,0.101641411,0.105590278,0.097291667
31,0,not_great,baseline,0.043279982,0.104201389,0.113888889
32,1,not_great,baseline,0.046847651,0.109791667,0.118055556
33,2,not_great,baseline,0.055089582,0.087534722,0.098680556
34,3,not_great,baseline,0.12261354,0.084722222,0.095902778
35,4,not_great,baseline,0.1401145,0.075034722,0.072222222
36,5,not_great,baseline,0.167405046,0.093090278,0.088923611
37,6,not_great,baseline,0.181727371,0.105590278,0.098645833
38,7,not_great,baseline,0.197167559,0.063888889,0.068090278
39,8,not_great,baseline,0.024167884,0.068055556,0.061145833
40,9,not_great,baseline,0.021586884,0.070868056,0.058333333
41,0,bad,polite,0.139760877,0.121708333,0.136666667
42,1,bad,polite,0.144973875,0.103375,0.121666667
43,2,bad,polite,0.162090084,0.095,0.1
44,3,bad,polite,0.092613598,0.081666667,0.101666667
45,4,bad,polite,0.093719394,0.103333333,0.110083333
46,5,bad,polite,0.097365129,0.130083333,0.135
47,6,bad,polite,0.089687625,0.118416667,0.12
48,7,bad,polite,0.079775693,0.101666667,0.091666667
49,8,bad,polite,0.06032575,0.095,0.068333333
50,9,bad,polite,0.06032575,0.098375,0.063333333
51,0,great,polite,0.014245242,0.095,0.086666667
52,1,great,polite,0.021665343,0.093375,0.078333333
53,2,great,polite,0.033783629,0.101708333,0.098333333
54,3,great,polite,0.045985739,0.100041667,0.103375
55,4,great,polite,0.062971178,0.118333333,0.133375
56,5,great,polite,0.08780474,0.098333333,0.123375
57,6,great,polite,0.109089228,0.101708333,0.121708333
58,7,great,polite,0.133441842,0.081666667,0.093375
59,8,great,polite,0.247819625,0.085,0.081666667
60,9,great,polite,0.243193433,0.103375,0.108333333
61,0,not_bad,polite,0.034845402,0.115041667,0.101708333
62,1,not_bad,polite,0.034845402,0.108375,0.103333333
63,2,not_bad,polite,0.043978911,0.098333333,0.098333333
64,3,not_bad,polite,0.087755695,0.083375,0.095
65,4,not_bad,polite,0.104051409,0.11,0.106666667
66,5,not_bad,polite,0.128864513,0.11675,0.111666667
67,6,not_bad,polite,0.144871699,0.141666667,0.12
68,7,not_bad,polite,0.16263719,0.113375,0.115041667
69,8,not_bad,polite,0.134123164,0.135125,0.118333333
70,9,not_bad,polite,0.128766366,0.145041667,0.135
71,0,not_great,polite,0.058623631,0.188416667,0.193375
72,1,not_great,polite,0.062636915,0.151666667,0.160083333
73,2,not_great,polite,0.072567162,0.118333333,0.146708333
74,3,not_great,polite,0.101711353,0.093333333,0.103333333
75,4,not_great,polite,0.114522487,0.068333333,0.081708333
76,5,not_great,polite,0.134770507,0.088333333,0.101666667
77,6,not_great,polite,0.14404578,0.101666667,0.098375
78,7,not_great,polite,0.15381464,0.123333333,0.103375
79,8,not_great,polite,0.083090574,0.120041667,0.105
80,9,not_great,polite,0.07421695,0.15,0.090041667
81,0,bad,impolite,0.295233749,0.139583333,0.139635417
82,1,bad,impolite,0.32225259,0.133385417,0.129166667
83,2,bad,impolite,0.382513661,0.114583333,0.116666667
84,3,bad,impolite,0,0.083333333,0.075
85,4,bad,impolite,0,0.110416667,0.129166667
86,5,bad,impolite,0,0.12921875,0.139583333
87,6,bad,impolite,0,0.133385417,0.152083333
88,7,bad,impolite,0,0.129166667,0.135572917
89,8,bad,impolite,0,0.156302083,0.14375
90,9,bad,impolite,0,0.16046875,0.150052083
91,0,great,impolite,0,0.15421875,0.13125
92,1,great,impolite,0,0.15421875,0.14796875
93,2,great,impolite,0,0.133333333,0.135416667
94,3,great,impolite,0,0.152083333,0.15
95,4,great,impolite,0,0.15,0.16046875
96,5,great,impolite,0,0.164635417,0.158333333
97,6,great,impolite,0,0.14796875,0.1625
98,7,great,impolite,0,0.05,0.054166667
99,8,great,impolite,0.518613885,0.05,0.052083333
100,9,great,impolite,0.481386115,0.060416667,0.05625
101,0,not_bad,impolite,0,0.118802083,0.11875
102,1,not_bad,impolite,0,0.120833333,0.127083333
103,2,not_bad,impolite,0,0.13125,0.133385417
104,3,not_bad,impolite,0.121829851,0.158333333,0.1521875
105,4,not_bad,impolite,0.139868933,0.168802083,0.162552083
106,5,not_bad,impolite,0.167895514,0.15625,0.164583333
107,6,not_bad,impolite,0.18311875,0.10625,0.12921875
108,7,not_bad,impolite,0.199617908,0.077135417,0.070833333
109,8,not_bad,impolite,0.097327772,0.077135417,0.079166667
110,9,not_bad,impolite,0.090341272,0.108333333,0.1375
111,0,not_great,impolite,0.036986592,0.108333333,0.122916667
112,1,not_great,impolite,0.040371485,0.095833333,0.122916667
113,2,not_great,impolite,0.047920933,0.095833333,0.08125
114,3,not_great,impolite,0.131186836,0.075052083,0.072916667
115,4,not_great,impolite,0.150611387,0.089583333,0.0875
116,5,not_great,impolite,0.180790513,0.12296875,0.145885417
117,6,not_great,impolite,0.19718295,0.118802083,0.133385417
118,7,not_great,impolite,0.214949305,0.097916667,0.118854167
119,8,not_great,impolite,0,0.12921875,0.135416667
120,9,not_great,impolite,0,0.13546875,0.12296875
