Time,Action,Data
2015/12/01 11:09:16,Create,"{u'description': u'A simple task of judging word meanings (takes ~3 minutes)', u'title': u'Quick study to judge what words mean', u'url': u'https://langcog.stanford.edu/expts/EJY/polgrice/L2_J/polgrice_L2_J.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'experimenter': u'Erica Yoon', u'keywords': u'Game, fun, sentences, conversation, meaning, goals', u'auto_approval_delay': u'1 hour', u'reward': 0.4, u'server_log_path': u'http://langcog.stanford.edu/cgi-bin/cosub/location.php'}"
2015/12/01 11:16:31,Create,"{u'description': u'A simple task of judging word meanings (takes ~3 minutes)', u'title': u'Quick study to judge what words mean', u'url': u'https://langcog.stanford.edu/expts/EJY/polgrice/L2_J/polgrice_L2_J.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'experimenter': u'Erica Yoon', u'keywords': u'Game, fun, sentences, conversation, meaning, goals', u'auto_approval_delay': u'1 hour', u'reward': 0.4, u'server_log_path': u'http://langcog.stanford.edu/cgi-bin/cosub/location.php'}"
2015/12/01 11:36:39,Add,7 assignments
