Time,Action,Data
2017/01/15 20:54:56,Create,"{u'description': u'A simple task of judging meanings behind what someone says (takes ~5 minutes)', u'title': u'Quick study to judge what people think', u'url': u'https://langcog.stanford.edu/expts/EJY/polgrice/speaker_production_dropdown/speaker.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'experimenter': u'Erica Yoon', u'keywords': u'Game, fun, sentences, conversation, meaning, goals', u'auto_approval_delay': u'1 hour', u'reward': 0.55, u'server_log_path': u'http://langcog.stanford.edu/cgi-bin/cosub/location.php'}"
2017/01/15 22:33:54,Add,10 assignments
2017/01/15 22:41:35,Add,29 assignments
2017/01/15 23:19:47,Expire,
2017/01/16 00:11:06,Add,12 assignments
2017/01/16 11:15:39,Add,1 week
2017/01/16 11:53:30,Expire,
