Time,Action,Data
2015/10/21 11:18:24,Create,"{u'description': u'A simple 7-minute task of judging goals behind what someone says', u'title': u""Quick study to judge someone else's goals"", u'url': u'https://langcog.stanford.edu/expts/EJY/polgrice/goals_v1/polgrice_goals.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'experimenter': u'Erica Yoon', u'keywords': u'Game, fun, sentences, conversation, meaning, goals', u'auto_approval_delay': u'1 hour', u'reward': 0.8, u'server_log_path': u'http://langcog.stanford.edu/cgi-bin/cosub/location.php'}"
2015/10/21 12:42:08,Create,"{u'description': u'A simple task of judging goals behind what someone says (takes ~8 minutes)', u'title': u""Quick study to judge someone else's goals"", u'url': u'https://langcog.stanford.edu/expts/EJY/polgrice/goals_v1/polgrice_goals.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'experimenter': u'Erica Yoon', u'keywords': u'Game, fun, sentences, conversation, meaning, goals', u'auto_approval_delay': u'1 hour', u'reward': 0.9, u'server_log_path': u'http://langcog.stanford.edu/cgi-bin/cosub/location.php'}"
2015/10/21 15:58:02,Add,6 assignments
