Time,Action,Data
2017/01/11 14:06:47,Create,"{u'description': u'A simple task of judging meanings behind what someone says (takes ~6 minutes)', u'title': u'Quick study to judge what people think', u'url': u'https://langcog.stanford.edu/expts/EJY/polgrice/L2_S_wNeg/polgrice_L2_S.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'experimenter': u'Erica Yoon', u'keywords': u'Game, fun, sentences, conversation, meaning, goals', u'auto_approval_delay': u'1 hour', u'reward': 0.65, u'server_log_path': u'http://langcog.stanford.edu/cgi-bin/cosub/location.php'}"
2017/01/11 14:07:51,Create,"{u'description': u'A simple task of judging meanings behind what someone says (takes ~6 minutes)', u'title': u'Quick study to judge what people think', u'url': u'https://langcog.stanford.edu/expts/EJY/polgrice/L2_S_wNeg/polgrice_L2_S.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'experimenter': u'Erica Yoon', u'keywords': u'Game, fun, sentences, conversation, meaning, goals', u'auto_approval_delay': u'1 hour', u'reward': 0.65, u'server_log_path': u'http://langcog.stanford.edu/cgi-bin/cosub/location.php'}"
2017/01/11 15:41:33,Add,25 assignments
