"subid","trial","utterance","predicted_state"
"19",15,"okay",2
"20",1,"okay",3
"20",2,"amazing",5
"20",3,"good",3
"20",4,"bad",1
"20",5,"bad",1
"20",6,"good",4
"20",7,"amazing",5
"20",8,"terrible",1
"20",9,"good",3
"20",10,"amazing",5
"20",11,"okay",3
"20",12,"terrible",1
"20",13,"terrible",1
"20",14,"bad",2
"20",15,"okay",3
"20",1,"terrible",1
"20",2,"bad",1
"20",3,"amazing",5
"20",4,"okay",3
"20",5,"okay",2
"20",6,"terrible",1
"20",7,"good",3
"20",8,"bad",1
"20",9,"okay",2
"20",10,"amazing",5
"20",11,"good",2
"20",12,"amazing",5
"20",13,"bad",1
"20",14,"good",2
"20",15,"terrible",1
"21",1,"terrible",1
"21",2,"bad",1
"21",3,"okay",3
"21",4,"bad",1
"21",5,"good",4
"21",6,"amazing",5
"21",7,"terrible",1
"21",8,"bad",2
"21",9,"amazing",5
"21",10,"good",4
"21",11,"okay",3
"21",12,"good",4
"21",13,"okay",3
"21",14,"terrible",1
"21",15,"amazing",5
"22",1,"good",4
"22",2,"good",4
"22",3,"bad",1
"22",4,"bad",1
"22",5,"terrible",1
"22",6,"terrible",1
"22",7,"amazing",5
"22",8,"amazing",5
"22",9,"okay",3
"22",10,"terrible",1
"22",11,"okay",3
"22",12,"good",4
"22",13,"amazing",5
"22",14,"okay",3
"22",15,"bad",1
"23",1,"bad",3
"23",2,"amazing",3
"23",3,"terrible",4
"23",4,"bad",4
"23",5,"okay",2
"23",6,"amazing",5
"23",7,"good",2
"23",8,"terrible",4
"23",9,"bad",2
"23",10,"terrible",2
"23",11,"okay",2
"23",12,"okay",2
"23",13,"good",3
"23",14,"amazing",4
"23",15,"good",3
"23",1,"good",4
"23",2,"bad",1
"23",3,"good",3
"23",4,"terrible",1
"23",5,"terrible",1
"23",6,"terrible",1
"23",7,"amazing",5
"23",8,"good",3
"23",9,"bad",1
"23",10,"okay",2
"23",11,"amazing",5
"23",12,"bad",1
"23",13,"okay",2
"23",14,"okay",2
"23",15,"amazing",5
"24",1,"okay",3
"24",2,"amazing",5
"24",3,"amazing",4
"24",4,"okay",3
"24",5,"good",3
"24",6,"okay",3
"24",7,"bad",1
"24",8,"good",3
"24",9,"terrible",1
"24",10,"terrible",1
"24",11,"bad",1
"24",12,"terrible",1
"24",13,"amazing",4
"24",14,"bad",1
"24",15,"good",3
"25",1,"okay",3
"25",2,"bad",1
"25",3,"terrible",1
"25",4,"terrible",1
"25",5,"amazing",5
"25",6,"okay",3
"25",7,"okay",3
"25",8,"good",3
"25",9,"good",4
"25",10,"amazing",5
"25",11,"bad",1
"25",12,"terrible",1
"25",13,"good",4
"25",14,"bad",1
"25",15,"amazing",5
"26",1,"amazing",3
"26",2,"terrible",1
"26",3,"okay",2
"26",4,"bad",1
"26",5,"okay",2
"26",6,"good",3
"26",7,"okay",2
"26",8,"terrible",1
"26",9,"amazing",5
"26",10,"terrible",1
"26",11,"good",3
"26",12,"good",2
"26",13,"amazing",5
"26",14,"bad",1
"26",15,"bad",1
"27",1,"terrible",2
"27",2,"okay",3
"27",3,"terrible",1
"27",4,"amazing",5
"27",5,"terrible",1
"27",6,"good",4
"27",7,"good",3
"27",8,"bad",2
"27",9,"amazing",5
"27",10,"okay",3
"27",11,"amazing",5
"27",12,"good",3
"27",13,"bad",2
"27",14,"okay",3
"27",15,"bad",2
"28",1,"bad",1
"28",2,"terrible",3
"28",3,"terrible",2
"28",4,"bad",2
"28",5,"terrible",2
"28",6,"amazing",3
"28",7,"okay",2
"28",8,"amazing",4
"28",9,"good",3
"28",10,"good",3
"28",11,"amazing",3
"28",12,"bad",2
"28",13,"okay",2
"28",14,"good",3
"28",15,"okay",3
"29",1,"amazing",5
"29",2,"bad",1
"29",3,"okay",3
"29",4,"amazing",4
"29",5,"okay",3
"29",6,"bad",1
"29",7,"okay",3
"29",8,"terrible",1
"29",9,"amazing",5
"29",10,"good",4
"29",11,"bad",2
"29",12,"terrible",1
"29",13,"good",4
"29",14,"terrible",1
"29",15,"good",4
"30",1,"terrible",1
"30",2,"terrible",1
"30",3,"good",2
"30",4,"amazing",3
"30",5,"terrible",1
"30",6,"okay",3
"30",7,"bad",2
"30",8,"bad",2
"30",9,"bad",1
"30",10,"good",4
"30",11,"okay",3
"30",12,"amazing",4
"30",13,"amazing",4
"30",14,"okay",3
"30",15,"good",4
