Time,Action,Data
2015/12/08 13:22:00,Create,"{u'description': u'A simple task of judging meanings behind what someone says (takes ~3 minutes)', u'title': u'Quick study to judge what people think', u'url': u'https://langcog.stanford.edu/expts/EJY/polgrice/L2_S/polgrice_L2_S.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'experimenter': u'Erica Yoon', u'keywords': u'Game, fun, sentences, conversation, meaning, goals', u'auto_approval_delay': u'1 hour', u'reward': 0.35, u'server_log_path': u'http://langcog.stanford.edu/cgi-bin/cosub/location.php'}"
2015/12/08 13:23:58,Create,"{u'description': u'A simple task of judging meanings behind what someone says (takes ~3 minutes)', u'title': u'Quick study to judge what people think', u'url': u'https://langcog.stanford.edu/expts/EJY/polgrice/L2_S/polgrice_L2_S.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'experimenter': u'Erica Yoon', u'keywords': u'Game, fun, sentences, conversation, meaning, goals', u'auto_approval_delay': u'1 hour', u'reward': 0.35, u'server_log_path': u'http://langcog.stanford.edu/cgi-bin/cosub/location.php'}"
2015/12/08 14:03:00,Add,15 assignments
2015/12/11 13:51:52,Add,10 assignments
