Time,Action,Data
2015/10/23 10:54:30,Create,"{u'description': u'A simple task of judging goals behind what someone says (takes ~9 minutes)', u'title': u""Quick study to judge someone else's goals"", u'url': u'https://langcog.stanford.edu/expts/EJY/polgrice/goals_v2/polgrice_goals_v2.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'experimenter': u'Erica Yoon', u'keywords': u'Game, fun, sentences, conversation, meaning, goals', u'auto_approval_delay': u'1 hour', u'reward': 1.0, u'server_log_path': u'http://langcog.stanford.edu/cgi-bin/cosub/location.php'}"
2015/10/23 10:56:49,Create,"{u'description': u'A simple task of judging goals behind what someone says (takes ~9 minutes)', u'title': u""Quick study to judge someone else's goals"", u'url': u'https://langcog.stanford.edu/expts/EJY/polgrice/goals_v2/polgrice_goals_v2.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'experimenter': u'Erica Yoon', u'keywords': u'Game, fun, sentences, conversation, meaning, goals', u'auto_approval_delay': u'1 hour', u'reward': 1.0, u'server_log_path': u'http://langcog.stanford.edu/cgi-bin/cosub/location.php'}"
2015/10/23 14:45:05,Add,3 assignments
2015/10/23 14:58:22,Add,3 assignments
2015/10/23 16:11:47,Add,3 assignments
2015/10/23 16:46:16,Add,1 assignments
