Time,Action,Data
2017/01/13 10:49:04,Create,"{u'description': u'A simple task of judging meanings behind what someone says (takes ~5 minutes)', u'title': u'Quick study to judge what people think', u'url': u'https://langcog.stanford.edu/expts/EJY/polgrice/speaker_production_pilot/speaker.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'experimenter': u'Erica Yoon', u'keywords': u'Game, fun, sentences, conversation, meaning, goals', u'auto_approval_delay': u'1 hour', u'reward': 0.55, u'server_log_path': u'http://langcog.stanford.edu/cgi-bin/cosub/location.php'}"
2017/01/13 10:52:09,Create,"{u'description': u'A simple task of judging meanings behind what someone says (takes ~5 minutes)', u'title': u'Quick study to judge what people think', u'url': u'https://langcog.stanford.edu/expts/EJY/polgrice/speaker_production_pilot/speaker.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'experimenter': u'Erica Yoon', u'keywords': u'Game, fun, sentences, conversation, meaning, goals', u'auto_approval_delay': u'1 hour', u'reward': 0.55, u'server_log_path': u'http://langcog.stanford.edu/cgi-bin/cosub/location.php'}"
2017/01/13 11:48:57,Expire,
